CID,TABCD,LCD,CLASS,TCD,STCD,JUNCTIONNUMBER,RNID,N1ID,N2ID,POL_LCD,OTH_LCD,SEG_LCD,ROA_LCD,INPOS,INNEG,OUTPOS,OUTNEG,PRESENTPOS,PRESENTNEG,DIVERSIONPOS,DIVERSIONNEG,XCOORD,YCOORD,INTERRUPTSROAD,URBAN,JNID
25,1,12046,P,1,11,,40081,43473,,41884,,,950,1,1,1,1,1,1,,,945262,4554755,,0,
25,1,4237,P,1,11,,4695,57293,,23,,,308,1,1,1,1,1,1,,,1165597,4477049,,0,
25,1,26342,P,1,11,,,15099,,93,,,26339,1,1,1,1,1,1,,,1538649,3818208,,0,
25,1,16715,P,1,11,,,12209,,41879,,,16710,1,1,1,1,1,1,,,1701728,4090753,,0,
25,1,8136,P,1,11,,31627,29413,,41882,,,549,1,1,1,1,1,1,,,1436108,4087096,,0,
25,1,25371,P,1,11,,23077,52637,,54,,,25363,1,1,1,1,1,1,,,983802,4511507,,0,
25,1,18629,P,1,11,,76515,14459,,50,,,18628,1,1,1,1,1,1,,,1039609,4541952,,0,
25,1,31060,P,1,11,,37693,10607,,105,,,31051,1,1,1,1,1,1,,,1059973,4353501,,0,
25,1,16714,P,1,11,,,38339,,41879,,,16710,1,1,1,1,1,1,,,1699962,4087700,,0,
25,1,43261,P,1,10,,68617,47247,,41864,,,43260,1,1,1,1,1,1,,,1243734,4189436,,1,
25,1,13077,P,1,11,,11895,55243,,74,,,1097,1,1,1,1,1,1,,,765100,4464131,,0,
25,1,25204,P,1,11,,,20833,,102,,,25200,1,1,1,1,1,1,,,1063183,4300441,,0,
25,1,45536,P,1,11,,41421,75479,,41868,,,45535,1,1,1,1,1,1,,,888613,4441061,,0,
25,1,19973,P,1,11,,,49967,,11,,,19968,1,1,1,1,1,1,,,1623854,3906039,,0,
25,1,34972,P,1,11,,,17519,,82,,,34968,1,1,1,1,1,1,,,1696976,4068772,,0,
25,1,44527,P,1,11,,60389,35289,,103,,,862,1,1,1,1,1,1,,,1049566,4383941,,0,
25,1,31178,P,1,11,,46379,2271,,106,,,31176,1,1,1,1,1,1,,,1077711,4408319,,0,
25,1,22323,P,1,11,,14813,32789,,41873,,,22322,1,1,1,1,1,1,,,1125184,4378365,,0,
25,1,2619,P,1,3,,72035,46243,,41884,,,239,1,1,1,1,1,1,,,921215,4539035,,0,
25,1,14757,P,1,11,,,24285,,72,,,14751,1,1,1,1,1,1,,,902202,4468034,,0,
25,1,7049,P,1,11,,11225,60209,,12,,,467,1,1,1,1,1,1,,,1642201,3933511,,0,
25,1,16234,P,1,11,,,55321,,71,,,16232,1,1,1,1,1,1,,,806732,4506714,,0,
25,1,7685,P,1,11,,2119,31219,,41886,,,504,1,1,1,1,1,1,,,836829,3911063,,0,
25,1,14630,P,1,11,,,36281,,89,,,14627,1,1,1,1,1,1,,,1369845,3740250,,0,
